ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-02-06,311.08452459104967,96.73647651969767,281.74451625631707,311.08452459104967,311.08452459104967,-130.45452811071408,-130.45452811071408,-130.45452811071408,3.467118582398602,3.467118582398602,3.467118582398602,-133.9216466931127,-133.9216466931127,-133.9216466931127,0.0,0.0,0.0,180.6299964803356
2024-02-07,311.08507381023014,83.21786309423327,262.6976667613728,311.08507381023014,311.08507381023014,-134.29558763322862,-134.29558763322862,-134.29558763322862,-3.7159393420497486,-3.7159393420497486,-3.7159393420497486,-130.57964829117887,-130.57964829117887,-130.57964829117887,0.0,0.0,0.0,176.78948617700152
2024-02-08,311.08562302941056,92.6347996425731,279.00178341882696,311.08562302941056,311.08562302941056,-126.47254342315225,-126.47254342315225,-126.47254342315225,0.644912581891697,0.644912581891697,0.644912581891697,-127.11745600504395,-127.11745600504395,-127.11745600504395,0.0,0.0,0.0,184.6130796062583
2024-02-09,311.086172248591,93.40436525456643,272.5457229770497,311.086172248591,311.086172248591,-129.6518578086448,-129.6518578086448,-129.6518578086448,-5.987636346698821,-5.987636346698821,-5.987636346698821,-123.66422146194596,-123.66422146194596,-123.66422146194596,0.0,0.0,0.0,181.43431443994623
2024-02-10,311.0867214677715,102.22921786562988,282.5330592299987,311.0867214677715,311.0867214677715,-117.95991085537031,-117.95991085537031,-117.95991085537031,2.3937613410084895,2.3937613410084895,2.3937613410084895,-120.3536721963788,-120.3536721963788,-120.3536721963788,0.0,0.0,0.0,193.1268106124012
2024-02-11,311.0872706869519,103.26642295384133,287.49100605677756,311.0872706869519,311.0872706869519,-120.09412664407894,-120.09412664407894,-120.09412664407894,-2.774050819478563,-2.774050819478563,-2.774050819478563,-117.32007582460037,-117.32007582460037,-117.32007582460037,0.0,0.0,0.0,190.99314404287298
2024-02-12,311.0878199061324,118.35885571385846,292.12455142862405,311.0878199061324,311.0878199061324,-108.72231578360685,-108.72231578360685,-108.72231578360685,5.971834002879427,5.971834002879427,5.971834002879427,-114.69414978648626,-114.69414978648626,-114.69414978648626,0.0,0.0,0.0,202.36550412252552
2024-02-13,311.0883691253128,111.10419415889311,291.86175222778786,311.0883691253128,311.0883691253128,-109.13192288860239,-109.13192288860239,-109.13192288860239,3.467118582402584,3.467118582402584,3.467118582402584,-112.59904147100497,-112.59904147100497,-112.59904147100497,0.0,0.0,0.0,201.9564462367104
2024-02-14,311.08891834449327,105.65883201519003,284.28444755294106,311.08891834449327,311.08891834449327,-114.86244115364393,-114.86244115364393,-114.86244115364393,-3.715939342031411,-3.715939342031411,-3.715939342031411,-111.14650181161252,-111.14650181161252,-111.14650181161252,0.0,0.0,0.0,196.22647719084932
2024-02-15,311.08946756367374,106.72857167750328,295.3447525156597,311.08946756367374,311.08946756367374,-109.78845737074609,-109.78845737074609,-109.78845737074609,0.6449125818964733,0.6449125818964733,0.6449125818964733,-110.43336995264258,-110.43336995264258,-110.43336995264258,0.0,0.0,0.0,201.30101019292766
2024-02-16,311.09001678285415,102.84281644353672,285.62445295710035,311.09001678285415,311.09001678285415,-116.52611385657754,-116.52611385657754,-116.52611385657754,-5.987636346694477,-5.987636346694477,-5.987636346694477,-110.53847750988307,-110.53847750988307,-110.53847750988307,0.0,0.0,0.0,194.56390292627663
2024-02-17,311.0905660020346,110.30522781188034,286.13112371647765,311.0905660020346,311.0905660020346,-109.12630720501637,-109.12630720501637,-109.12630720501637,2.3937613410067202,2.3937613410067202,2.3937613410067202,-111.5200685460231,-111.5200685460231,-111.5200685460231,0.0,0.0,0.0,201.96425879701826
2024-02-18,311.0911152212151,99.01970271715697,286.84912471827255,311.0911152212151,311.0911152212151,-116.18786684471215,-116.18786684471215,-116.18786684471215,-2.774050819470822,-2.774050819470822,-2.774050819470822,-113.41381602524132,-113.41381602524132,-113.41381602524132,0.0,0.0,0.0,194.90324837650294
2024-02-19,311.0916644403955,104.519022861175,281.6949334663019,311.0916644403955,311.0916644403955,-110.25966365672737,-110.25966365672737,-110.25966365672737,5.971834002903506,5.971834002903506,5.971834002903506,-116.23149765963089,-116.23149765963089,-116.23149765963089,0.0,0.0,0.0,200.83200078366815
2024-02-20,311.092213659576,105.75066688707473,283.9050838392772,311.092213659576,311.092213659576,-116.49325567035484,-116.49325567035484,-116.49325567035484,3.4671185824238506,3.4671185824238506,3.4671185824238506,-119.9603742527787,-119.9603742527787,-119.9603742527787,0.0,0.0,0.0,194.59895798922113
2024-02-21,311.0927628787564,84.78343282107608,277.6673167886194,311.0927628787564,311.0927628787564,-128.27923181687578,-128.27923181687578,-128.27923181687578,-3.715939342013074,-3.715939342013074,-3.715939342013074,-124.5632924748627,-124.5632924748627,-124.5632924748627,0.0,0.0,0.0,182.8135310618806
2024-02-22,311.09331209793686,93.35932692579362,269.37606707225086,311.09331209793686,311.09331209793686,-129.3345995310426,-129.3345995310426,-129.3345995310426,0.6449125818832191,0.6449125818832191,0.6449125818832191,-129.9795121129258,-129.9795121129258,-129.9795121129258,0.0,0.0,0.0,181.75871256689425
2024-02-23,311.09386131711733,73.75592295778773,262.9172087818536,311.09386131711733,311.09386131711733,-142.11387223370366,-142.11387223370366,-142.11387223370366,-5.987636346700379,-5.987636346700379,-5.987636346700379,-136.12623588700328,-136.12623588700328,-136.12623588700328,0.0,0.0,0.0,168.97998908341367
2024-02-24,311.09441053629774,83.37563468239752,267.2120560834746,311.09441053629774,311.09441053629774,-140.50703723505995,-140.50703723505995,-140.50703723505995,2.393761341004949,2.393761341004949,2.393761341004949,-142.90079857606491,-142.90079857606491,-142.90079857606491,0.0,0.0,0.0,170.5873733012378
2024-02-25,311.0949597554782,65.13894901448204,251.64139253155528,311.0949597554782,311.0949597554782,-152.95750292350075,-152.95750292350075,-152.95750292350075,-2.774050819479414,-2.774050819479414,-2.774050819479414,-150.18345210402137,-150.18345210402137,-150.18345210402137,0.0,0.0,0.0,158.13745683197746
2024-02-26,311.0955089746586,72.02132958085538,257.7477769101251,311.0955089746586,311.0955089746586,-151.8688310037933,-151.8688310037933,-151.8688310037933,5.971834002898584,5.971834002898584,5.971834002898584,-157.84066500669192,-157.84066500669192,-157.84066500669192,0.0,0.0,0.0,159.22667797086532
2024-02-27,311.0960581938391,60.58644177555729,239.99346029749017,311.0960581938391,311.0960581938391,-162.26172031160394,-162.26172031160394,-162.26172031160394,3.4671185823965516,3.4671185823965516,3.4671185823965516,-165.72883889400046,-165.72883889400046,-165.72883889400046,0.0,0.0,0.0,148.83433788223516
2024-02-28,311.09660741301957,45.97321370037601,225.69957034885505,311.09660741301957,311.09660741301957,-177.41427096426253,-177.41427096426253,-177.41427096426253,-3.715939342034053,-3.715939342034053,-3.715939342034053,-173.69833162222847,-173.69833162222847,-173.69833162222847,0.0,0.0,0.0,133.68233644875704
2024-02-29,311.0971566322,32.401176118375716,220.30165574424922,311.0971566322,311.0971566322,-180.95275471461986,-180.95275471461986,-180.95275471461986,0.6449125818879955,0.6449125818879955,0.6449125818879955,-181.59766729650786,-181.59766729650786,-181.59766729650786,0.0,0.0,0.0,130.14440191758013
2024-03-01,311.09770585138045,22.893278365125152,208.11566351851545,311.09770585138045,311.09770585138045,-195.2654435798704,-195.2654435798704,-195.2654435798704,-5.987636346696036,-5.987636346696036,-5.987636346696036,-189.27780723317437,-189.27780723317437,-189.27780723317437,0.0,0.0,0.0,115.83226227151005
2024-03-02,311.0982550705609,23.840547881902623,200.11935086104717,311.0982550705609,311.0982550705609,-194.2025924795087,-194.2025924795087,-194.2025924795087,2.393761341001898,2.393761341001898,2.393761341001898,-196.5963538205106,-196.5963538205106,-196.5963538205106,0.0,0.0,0.0,116.89566259105223
2024-03-03,311.09880428974134,22.161019238932393,201.21676858224535,311.09880428974134,311.09880428974134,-206.19561171489912,-206.19561171489912,-206.19561171489912,-2.7740508194716735,-2.7740508194716735,-2.7740508194716735,-203.42156089542746,-203.42156089542746,-203.42156089542746,0.0,0.0,0.0,104.90319257484222
2024-03-04,311.0993535089218,19.353829992498422,197.5124950553644,311.0993535089218,311.0993535089218,-203.66419576650668,-203.66419576650668,-203.66419576650668,5.971834002922664,5.971834002922664,5.971834002922664,-209.63602976942937,-209.63602976942937,-209.63602976942937,0.0,0.0,0.0,107.43515774241513
2024-03-05,311.0999027281022,6.800072551941968,198.92140325956166,311.0999027281022,311.0999027281022,-211.67286064840616,-211.67286064840616,-211.67286064840616,3.4671185824318163,3.4671185824318163,3.4671185824318163,-215.13997923083798,-215.13997923083798,-215.13997923083798,0.0,0.0,0.0,99.42704207969607
2024-03-06,311.1004519472827,-9.11145382264671,174.73056827256266,311.1004519472827,311.1004519472827,-223.56992980005347,-223.56992980005347,-223.56992980005347,-3.715939342070448,-3.715939342070448,-3.715939342070448,-219.85399045798303,-219.85399045798303,-219.85399045798303,0.0,0.0,0.0,87.53052214722922
2024-03-07,311.10100116646316,-2.755353189148704,185.319928840611,311.10100116646316,311.10100116646316,-223.07623084348876,-223.07623084348876,-223.07623084348876,0.6449125818890715,0.6449125818890715,0.6449125818890715,-223.72114342537785,-223.72114342537785,-223.72114342537785,0.0,0.0,0.0,88.0247703229744
2024-03-08,311.1015503856436,-22.093907190889702,168.4220434433665,311.1015503856436,311.1015503856436,-232.69611595868463,-232.69611595868463,-232.69611595868463,-5.9876363466968145,-5.9876363466968145,-5.9876363466968145,-226.70847961198785,-226.70847961198785,-226.70847961198785,0.0,0.0,0.0,78.40543442695895
2024-03-09,311.1020970437535,0.4104066034279081,175.5251836426517,311.1020970437535,311.1020970437535,-226.4139847435099,-226.4139847435099,-226.4139847435099,2.393761341008927,2.393761341008927,2.393761341008927,-228.8077460845188,-228.8077460845188,-228.8077460845188,0.0,0.0,0.0,84.68811230024357
2024-03-10,311.1026437018635,-8.137738307841625,167.88668114157022,311.1026437018635,311.1026437018635,-232.80944853889133,-232.80944853889133,-232.80944853889133,-2.7740508194849096,-2.7740508194849096,-2.7740508194849096,-230.03539771940643,-230.03539771940643,-230.03539771940643,0.0,0.0,0.0,78.29319516297215
2024-03-11,311.10319035997344,-0.8059447564475417,172.48047825979467,311.10319035997344,311.10319035997344,-224.46002279627837,-224.46002279627837,-224.46002279627837,5.971834002917742,5.971834002917742,5.971834002917742,-230.43185679919614,-230.43185679919614,-230.43185679919614,0.0,0.0,0.0,86.64316756369507
2024-03-12,311.10373701808334,-15.10460293657136,172.60921215279126,311.10373701808334,311.10373701808334,-226.59293320911212,-226.59293320911212,-226.59293320911212,3.467118582404517,3.467118582404517,3.467118582404517,-230.06005179151668,-230.06005179151668,-230.06005179151668,0.0,0.0,0.0,84.51080380897122
2024-03-13,311.10428367619335,-15.599066722895502,169.15766492175192,311.10428367619335,311.10428367619335,-232.71921845264933,-232.71921845264933,-232.71921845264933,-3.715939342052111,-3.715939342052111,-3.715939342052111,-229.0032791105972,-229.0032791105972,-229.0032791105972,0.0,0.0,0.0,78.38506522354402
2024-03-14,311.10483033430324,-8.257735768102867,171.9957333088017,311.10483033430324,311.10483033430324,-226.71753982335315,-226.71753982335315,-226.71753982335315,0.6449125818938478,0.6449125818938478,0.6449125818938478,-227.362452405247,-227.362452405247,-227.362452405247,0.0,0.0,0.0,84.3872905109501
2024-03-15,311.10537699241326,-13.804104405601061,167.73655782366583,311.10537699241326,311.10537699241326,-231.24045912739615,-231.24045912739615,-231.24045912739615,-5.987636346692471,-5.987636346692471,-5.987636346692471,-225.25282278070372,-225.25282278070372,-225.25282278070372,0.0,0.0,0.0,79.8649178650171
